"행정구역별(1)",행정구역별(2),계,계,계,계,계,침엽수,침엽수,침엽수,침엽수,침엽수,활엽수,활엽수,활엽수,활엽수,활엽수,혼효림,혼효림,혼효림,혼효림,혼효림,죽림,죽림,죽림,죽림,죽림,무립목지,무립목지,무립목지,무립목지,무립목지
"광주광역시",남구,1831,1831,1831,1831,1795,778,778,778,778,790,304,304,304,304,266,713,713,713,713,689,27,27,27,27,28,9,9,9,9,22
"광주광역시",북구,5438,5438,5438,5438,5398,2191,2191,2191,2191,2229,1279,1279,1279,1279,1357,1872,1872,1872,1872,1688,38,38,38,38,40,58,58,58,58,84
"광주광역시",광산구,7702,7702,7702,7702,7499,4183,4183,4183,4183,3631,1063,1063,1063,1063,1300,2362,2362,2362,2362,2451,92,92,92,92,79,2,2,2,2,38
"대전광역시",소계,29928,29928,29928,29928,26206,10002,10002,10002,10002,9167,9272,9272,9272,9272,7532,10251,10251,10251,10251,9002,9,9,9,9,13,394,394,394,394,492
"대전광역시",동구,8759,8759,8759,8759,6921,2966,2966,2966,2966,2469,2470,2470,2470,2470,1970,3243,3243,3243,3243,2420,-,-,0,0,1,80,80,80,80,61
"대전광역시",중구,3438,3438,3438,3438,2969,960,960,960,960,835,1040,1040,1040,1040,972,1368,1368,1368,1368,1109,-,-,0,0,1,70,70,70,70,52
"대전광역시",서구,5124,5124,5124,5124,4718,1825,1825,1825,1825,1697,1428,1428,1428,1428,1248,1859,1859,1859,1859,1675,1,1,1,1,1,11,11,11,11,97
"대전광역시",유성구,9729,9729,9729,9729,9070,3224,3224,3224,3224,3318,3207,3207,3207,3207,2518,3080,3080,3080,3080,2998,8,8,8,8,9,210,210,210,210,227
"대전광역시",대덕구,2878,2878,2878,2878,2528,1027,1027,1027,1027,848,1127,1127,1127,1127,824,701,701,701,701,800,-,-,0,0,1,23,23,23,23,55
"울산광역시",소계,63429,68671,68671,68671,68001,25723,26812,26812,26812,24911,17195,20251,20251,20251,18628,15627,16664,16664,16664,19470,395,397,397,397,306,4489,4547,4547,4547,4686
"울산광역시",중구,1461,1461,1461,1461,1422,966,966,966,966,926,93,93,93,93,103,336,336,336,336,343,18,18,18,18,17,48,48,48,48,33
"울산광역시",남구,1836,1836,1836,1836,1757,582,582,582,582,479,407,407,407,407,259,418,418,418,418,445,18,18,18,18,15,411,411,411,411,559
"울산광역시",동구,1881,1881,1881,1881,1872,978,978,978,978,955,216,216,216,216,253,630,630,630,630,587,4,4,4,4,4,53,53,53,53,73
"울산광역시",북구,11179,11179,11179,11179,11094,4100,4100,4100,4100,3884,3645,3645,3645,3645,3011,2640,2640,2640,2640,3266,70,70,70,70,58,724,724,724,724,875
"울산광역시",울주군,47072,52314,52314,52314,51856,19097,20186,20186,20186,18667,12834,15890,15890,15890,15002,11603,12640,12640,12640,14829,285,287,287,287,212,3253,3311,3311,3311,3146
"세종특별자치시",소계,25288,25288,25288,25288,24849,6494,6494,6494,6494,6704,10769,10769,10769,10769,8248,7701,7701,7701,7701,9344,16,16,16,16,15,308,308,308,308,538
"경기도",소계,520068,520068,520068,520068,512105,134105,134105,134105,134105,125175,230496,230496,230496,230496,189756,126248,126248,126248,126248,161015,3,3,3,3,12,29216,29216,29216,29216,36147
"경기도",수원시,2638,2638,2638,2638,2593,797,797,797,797,777,851,851,851,851,803,746,746,746,746,731,0,-,0,0,0,244,244,244,244,282
"경기도",성남시,7101,7101,7101,7101,6881,891,891,891,891,884,4714,4714,4714,4714,3250,1270,1270,1270,1270,2654,0,-,0,0,0,226,226,226,226,93
"경기도",의정부시,4805,4805,4805,4805,4690,879,879,879,879,833,1673,1673,1673,1673,1423,1340,1340,1340,1340,1604,0,-,0,0,0,913,913,913,913,830
"경기도",안양시,3005,3005,3005,3005,2993,737,737,737,737,642,1526,1526,1526,1526,1293,732,732,732,732,1029,0,-,0,0,0,10,10,10,10,29
"경기도",부천시,1003,1003,1003,1003,955,128,128,128,128,107,675,675,675,675,543,134,134,134,134,236,0,-,0,0,0,66,66,66,66,69
"경기도",광명시,1492,1492,1492,1492,1472,96,96,96,96,77,1310,1310,1310,1310,840,70,70,70,70,436,0,-,0,0,0,16,16,16,16,119
"경기도",평택시,8263,8263,8263,8263,7762,3206,3206,3206,3206,2834,2603,2603,2603,2603,1703,2008,2008,2008,2008,2616,0,-,0,0,1,446,446,446,446,608
"경기도",동두천시,6354,6354,6354,6354,6289,941,941,941,941,880,3014,3014,3014,3014,2458,2162,2162,2162,2162,2642,0,-,0,0,0,237,237,237,237,309
"경기도",안산시,6327,6327,6327,6327,6205,2332,2332,2332,2332,2107,2467,2467,2467,2467,2118,1360,1360,1360,1360,1771,0,-,0,0,2,168,168,168,168,207
"경기도",고양시,9494,9494,9494,9494,9236,1435,1435,1435,1435,1276,4466,4466,4466,4466,3614,2606,2606,2606,2606,3315,0,-,0,0,0,987,987,987,987,1031
"경기도",과천시,2330,2330,2330,2330,2327,350,350,350,350,367,1285,1285,1285,1285,1004,599,599,599,599,837,0,-,0,0,0,96,96,96,96,119
"경기도",구리시,1332,1332,1332,1332,1284,276,276,276,276,233,707,707,707,707,641,269,269,269,269,338,0,-,0,0,0,80,80,80,80,72
"경기도",남양주시,31205,31205,31205,31205,30822,6454,6454,6454,6454,6619,16842,16842,16842,16842,13742,7564,7564,7564,7564,9938,0,-,0,0,3,345,345,345,345,520
"경기도",오산시,1135,1135,1135,1135,1074,573,573,573,573,487,281,281,281,281,224,221,221,221,221,280,0,-,0,0,0,60,60,60,60,83
"경기도",시흥시,4289,4289,4289,4289,4156,868,868,868,868,683,2509,2509,2509,2509,2027,756,756,756,756,1391,0,-,0,0,0,156,156,156,156,55
"경기도",군포시,1675,1675,1675,1675,1663,306,306,306,306,290,1087,1087,1087,1087,836,273,273,273,273,537,0,-,0,0,0,9,9,9,9,0
"경기도",의왕시,3400,3400,3400,3400,3392,405,405,405,405,403,2236,2236,2236,2236,1639,576,576,576,576,1138,0,-,0,0,0,183,183,183,183,212
"경기도",하남시,4900,4900,4900,4900,4810,480,480,480,480,446,2987,2987,2987,2987,2111,1340,1340,1340,1340,2198,0,-,0,0,0,93,93,93,93,55
"경기도",용인시,30337,30337,30337,30337,29908,8637,8637,8637,8637,7587,11013,11013,11013,11013,9288,6864,6864,6864,6864,8429,0,-,0,0,0,3823,3823,3823,3823,4604
"경기도",파주시,27188,27188,27188,27188,26947,6361,6361,6361,6361,5529,14141,14141,14141,14141,10640,5582,5582,5582,5582,8942,0,-,0,0,0,1104,1104,1104,1104,1836
"경기도",이천시,17202,17202,17202,17202,16460,4641,4641,4641,4641,3957,6357,6357,6357,6357,4859,4426,4426,4426,4426,5983,0,-,0,0,0,1778,1778,1778,1778,1661
