20  Ⅱ. 산림자원,,,,,,,,,,,,,,Ⅱ. Forest Resources  21,,
,,,,,,,,,,,,,,,,
3.  2020 소유별 산림면적 및 산림비율,,,,,,,,2020 Forest Area and % of Forest Area by Ownership,,,,,,,,
,,,,,,,,,,,,,,,,
단위 : ha,,,,,,,,,,,,,,Unit : ha,,
구   분,"국토면적
Land Area","합 계
Total","국          유          림
National Forest",,,,,"민          유          림
Non-national forest",,,,,"산림비율(%)
% of Forest area",Classification,,
,,,"계
Subtotal","산 림 청 소 관
Under Korea Forest Service",,,"타부처소관
Under other govt.
authorities","계
Subtotal","공     유     림
Public forest",,,"사 유 림
Private forest",,,,
,,,,"소 계
Subtotal","보전국유림
Conservation Forests","준보전국유림
Semi-Conservation Forests",,,"소 계
Subtotal","시·도유림
Provincial forest","시·군·구유림
옥천군,"53,725","34,431","6,112","5,856","5,830",26,256,"28,319","1,837",26,"1,811","26,482",64.09,Okcheon-gun,,
영동군,"84,605","63,872","11,359","10,130","10,101",29,"1,229","52,513","7,410",166,"7,244","45,103",75.49,Yeongdong-gun,,
증평군,"8,181","4,065",665,573,571,2,92,"3,400",419,-,419,"2,981",49.69,Jeung pyeong-gun,,
진천군,"40,733","23,527","2,010","1,899","1,838",61,111,"21,517","4,121",86,"4,035","17,396",57.76,Jincheon-gun,,
괴산군,"84,214","63,656","11,952","11,324","10,969",355,628,"51,704","14,367","11,743","2,624","37,337",75.59,Goesan-gun,,
음성군,"52,017","24,378","1,631","1,456","1,403",53,175,"22,747","4,761",189,"4,572","17,986",46.87,Eumseong-gun,,
단양군,"78,010","62,543","28,390","27,661","27,379",282,729,"34,153","9,828","1,362","8,466","24,325",80.17,Danyang-gun,,
충청남도 ,"824,617","404,097","35,328","30,446","29,018","1,428","4,882","368,769","20,782","10,428","10,354","347,987",49.00,Chungcheongnam-do,,
천안시,"63,609","32,298","2,467","1,557","1,448",109,910,"29,831",695,59,636,"29,136",50.78,Cheonan-si,,
공주시,"86,415","60,332","8,772","8,118","7,840",278,654,"51,560","1,275",184,"1,091","50,285",69.82,Gongju-si,,
보령시,"58,674","33,552","3,019","2,637","2,515",122,382,"30,533","5,956","5,211",745,"24,577",57.18,Boryeong-si,,
아산시,"54,285","18,450","1,270","1,200","1,165",35,70,"17,180",772,46,726,"16,408",33.99,Asan-si,,
서산시,"74,214","29,744","1,968","1,529","1,445",84,439,"27,776",841,76,765,"26,935",40.08,Seosan-si,,
논산시,"55,562","22,554","1,899","1,605","1,507",98,294,"20,655",952,12,940,"19,703",40.59,Nonsan-si,,
계룡시,"6,070","3,961","1,495",444,442,2,"1,051","2,466",146,-,146,"2,320",65.26,Gyeryong-si,,
,,,,,,,,,,,,,,,,
"출처 : 산림청 산림빅데이터팀 (2020년 산림기본통계 개정판, 5년주기 공표), 국토교통부 (지적통계)",,,,,,,,"Source：Forest Big Data Team (2020 Forest Basic Statistics, Revised Edition, published on a five-year cycle), 
           Ministry of Land Infrastructure and Transport (cadastral statistics)",,,,,,,,
32  Ⅱ. 산림자원,,,,,,,,,,,,,,Ⅱ. Forest Resources  33,,
,,,,,,,,,,,,,,,,
3.  2020 소유별 산림면적 및 산림비율 (계속),,,,,,,,2020 Forest Area and % of Forest Area by Ownership (Cont'd),,,,,,,,
,,,,,,,,,,,,,,,,
단위 : ha,,,,,,,,,,,,,,Unit : ha,,
구   분,"국토면적
Land Area","합 계
Total","국          유          림
National Forest",,,,,"민          유          림
Non-national forest",,,,,"산림비율(%)
% of
Forest area",Classification,,
