발생일시_년,발생장소_시도,논_비율,밭_비율
2022,인천,1.5841989124864446,0.6924348107349404
2022,광주,0.5930246171311282,0.6165987412630197
2022,대전,0.14230285978587393,0.36598063423861044
2022,울산,0.5502257464377653,0.6266543032793853
2022,세종,0.4546365638982017,0.4643179369296188
2022,경기,10.313578105092592,9.326660152488936
2022,강원,4.008585062679211,9.302707625423594
2022,충북,4.5296676445953095,8.100983463779281
2022,충남,18.265477641970737,9.835055200568142
2022,전북,15.963692372821422,8.847974108845499
2022,전남,21.372036909413687,14.7921097502252
2022,경북,13.189492224422475,19.150484102711186
2022,경남,8.333913066519882,9.520789014347626
2022,제주,0.0015741584021688483,7.433623984919949
2023,서울,0.026239309431695834,0.054377104236399215
2023,부산,0.29812265524175596,0.33672246699026676
2023,대구,0.3859828851020909,0.517622755005198
2023,인천,1.5954619783751764,0.6888650799972508
2023,광주,0.6518330045590028,0.5567663187692351
2023,대전,0.14076244107843536,0.35497168992931283
2023,울산,0.5335018218848931,0.6311189844800472
2023,세종,0.4466507554556096,0.454633205422662
2023,경기,10.106730517943122,9.394869535331132
2023,강원,3.9514365551390207,9.361284132855538
2023,충북,4.536004999556294,8.036843228659361
2023,충남,18.332478150474593,9.845100542068174
2023,전북,15.91032360999989,9.034846730981446
2023,전남,21.42542663015601,14.802713301180686
2023,경북,13.165979975775766,19.16041429682042
2023,경남,8.491467789424577,9.338196692359558
2023,제주,0.001598190053455613,7.430653894814701
2024,서울,0.02543812157590551,0.054542696510906166
2024,부산,0.3029834193288893,0.33191433473061216
2024,대구,0.7191348178575555,1.0924925727220687
2024,인천,1.5990198862989458,0.6822368982867104
2024,광주,0.6557576709709013,0.5439785584431206
2024,대전,0.14066555749551748,0.35121165318977365
2024,울산,0.5272389883387129,0.6282674778636228
2024,세종,0.4458477350091264,0.4536431221472274
2024,경기,10.050979043191438,9.399204747656288
2024,강원,3.928429257898464,9.36456578163926
2024,충북,4.5502330607855646,8.013459313833007
2024,충남,18.355249028826677,9.820620068396623
2024,전북,15.980085558242266,8.980383094746614
2024,전남,21.271398325547093,15.011892479239055
2024,경북,12.867941623387535,18.553267689152353
2024,경남,8.577993487713153,9.274200517611947
2024,제주,0.0016044175322593513,7.444118993830813
2025,서울,0.02543812157590551,0.054542696510906166
2025,부산,0.3029834193288893,0.33191433473061216
2025,대구,0.7191348178575555,1.0924925727220687
2025,인천,1.5990198862989458,0.6822368982867104
2025,광주,0.6557576709709013,0.5439785584431206
2025,대전,0.14066555749551748,0.35121165318977365
2025,울산,0.5272389883387129,0.6282674778636228
2025,세종,0.4458477350091264,0.4536431221472274
2025,경기,10.050979043191438,9.399204747656288
2025,강원,3.928429257898464,9.36456578163926
2025,충북,4.5502330607855646,8.013459313833007
2025,충남,18.355249028826677,9.820620068396623
2025,전북,15.980085558242266,8.980383094746614
2025,전남,21.271398325547093,15.011892479239055
2025,경북,12.867941623387535,18.553267689152353
2025,경남,8.577993487713153,9.274200517611947
2025,제주,0.0016044175322593513,7.444118993830813
